names,budget_x,revenue,score_scaled,budget_x_scaled,revenue_scaled,year_scaled,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_Unknown,genre_War,genre_Western,lang_ Chinese,lang_ English,lang_ French,lang_ German,lang_ Italian,lang_ Japanese,lang_ Korean,"lang_ Spanish, Castilian",lang_Other,country_ES,country_FR,country_GB,country_HK,country_IT,country_JP,country_KR,country_Other,country_US,status_ Post Production,status_ Released
Prey for the Devil,27240305.0,37655699.0,0.5,-0.2513217204063604,-0.30905488428282585,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Bandit,115000000.0,484414431.0,-0.25,0.717756183745583,0.8288067913564157,0.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Roald Dahl's Matilda the Musical,25000000.0,13276499.0,0.25,-0.2760600706713781,-0.37114691601225647,0.5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
The Simpsons Meet the Bocellis in Feliz Navidad,97200000.0,425726914.4,-1.0833333333333333,0.5212014134275619,0.6793339972184338,0.5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,15800000.0,503063688.0,1.5,-0.37765017667844525,0.8763050791334677,0.4444444444444444,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Huesera: The Bone Woman,135000000.0,670271186.2,-0.5833333333333334,0.9386042402826855,1.302170295532411,0.5555555555555556,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
The Last Heretic,122400000.0,344127931.8,-0.8333333333333334,0.799469964664311,0.4715073820428556,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
JUNG_E,66240000.0,580188584.0,-0.16666666666666666,0.1793286219081272,1.0727365243638705,0.5555555555555556,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
A Man Called Otto,50000000.0,108973274.0,1.1666666666666667,0.0,-0.1274142590873293,0.5555555555555556,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Champions,51880004.0,9263009.0,0.25,0.02075976148409894,-0.38136898024839844,0.5555555555555556,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Dungeons & Dragons: Honor Among Thieves,150000000.0,158598670.0,0.9166666666666666,1.1042402826855124,-0.0010220204979761028,0.5555555555555556,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Troll,121400000.0,977795653.4,0.25,0.7884275618374559,2.0854125255874845,0.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Sonic the Hedgehog 2,90000000.0,405421518.0,0.9166666666666666,0.4416961130742049,0.6276176440342659,0.5,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
A Bronx Tale,10000000.0,17287898.0,1.0833333333333333,-0.4416961130742049,-0.360930177399529,-1.0555555555555556,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Big Trip 2: Special Delivery,95200000.0,416119951.4,0.0,0.4991166077738516,0.6548657680960891,0.5555555555555556,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Encanto at the Hollywood Bowl,127000000.0,533207056.8,0.6666666666666666,0.8502650176678446,0.9530780254139662,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
The Forbidden Legend: Sex & Chopsticks 2,89600000.0,318375960.2,-0.4166666666666667,0.4372791519434629,0.405919001879331,-0.2222222222222222,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
Top Gun: Maverick,170000000.0,1011696957.05,1.5,1.325088339222615,2.1717566559077928,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
On a Wing and a Prayer,147400000.0,445526734.8,0.0,1.0755300353356891,0.729762685465539,0.5555555555555556,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Sniper: The White Raven,1000000.0,102414815.2,0.9166666666666666,-0.541077738515901,-0.1441181719271995,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
The Enforcer,1261569.0,102023958.0,0.75,-0.5381893882508834,-0.14511365650684432,0.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Diabolik - Ginko Attacks,21680000.0,1228459.0,-0.6666666666666666,-0.3127208480565371,-0.4018323889546602,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
Scream VI,35000000.0,167273149.0,0.6666666666666666,-0.16563604240282687,0.021071240368019488,0.5555555555555556,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Avatar,237000000.0,1011696957.05,0.9166666666666666,2.064929328621908,2.1717566559077928,-0.2222222222222222,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
